Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,Churn Category,Churn Reason,Churn Score,City,CLTV,Contract,Country,Customer ID,Customer Status,Dependents,Device Protection Plan,Gender,Internet Service,Internet Type,Lat Long,Latitude,Longitude,Married,Monthly Charge,Multiple Lines,Number of Dependents,Number of Referrals,Offer,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Population,Premium Tech Support,Quarter,Referred a Friend,Satisfaction Score,Senior Citizen,State,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,Under 30,Unlimited Data,Zip Code,Churn
48,36.59,38.0,,,32,Aaronfurt,6251,Two Year,United States,374-SEVDX,Stayed,3,1,Female,1,Fiber Optic,"38.11351, -123.325832",38.11351,-123.325832,1,81.75,0,3,8,,1,0,1,1,Credit Card,1,78820,0,Q4,1,5,0,California,0,0,0,1,77.38,0.0,41.36,0.0,118.74,0,1,95395,0
54,12.91,20.17,,,30,New Tyler,2089,Two Year,United States,3251-QHSAH,Joined,0,1,Female,1,Fiber Optic,"38.644372, -120.765716",38.644372,-120.765716,0,85.22,0,0,10,Offer A,1,1,1,1,Mailed Check,0,12422,1,Q4,1,2,0,California,0,1,0,1,93.4,0.0,18.32,7.59,104.13,0,0,90905,0
18,0.0,10.09,,,59,Kellyville,2797,One Year,United States,8889-UXZMJ,Joined,0,0,Male,0,,"38.99051, -114.503877",38.99051,-114.503877,1,47.09,0,0,1,Offer E,0,0,0,0,Bank Withdrawal,0,43730,0,Q4,1,3,0,California,0,0,0,14,698.26,0.0,136.46,0.0,834.72,1,0,94395,0
18,2.62,3.31,,,13,Amandafort,2273,One Year,United States,1139-ALTZI,Joined,0,1,Female,1,DSL,"40.800146, -124.111122",40.800146,-124.111122,1,83.57,0,0,0,Offer B,1,1,1,0,Bank Withdrawal,1,27626,0,Q4,0,3,0,California,1,1,0,79,6321.6,0.0,257.43,0.0,6579.030000000001,1,0,94993,0
64,27.7,0.0,,,36,North Michaelberg,3247,Month-to-Month,United States,7070-MHLZA,Joined,0,0,Male,0,,"33.2396, -116.03377",33.2396,-116.03377,1,62.48,0,0,9,Offer E,0,0,1,0,Bank Withdrawal,0,65021,0,Q4,1,2,0,California,0,0,0,45,2642.05,0.0,0.0,0.0,2642.05,0,0,91525,0
62,35.1,0.0,,,40,Cannonmouth,3327,One Year,United States,735-MUDJM,Stayed,0,0,Male,0,,"35.187813, -119.980353",35.187813,-119.980353,1,52.47,0,0,6,Offer C,0,0,1,0,Credit Card,0,25253,0,Q4,1,5,0,California,0,0,0,55,2617.32,0.0,0.0,0.0,2617.32,0,0,94555,0
61,37.83,5.98,Attitude,Network reliability,93,West Monicafort,4211,One Year,United States,990-EFEKK,Churned,0,0,Female,1,Fiber Optic,"33.198731, -122.039263",33.198731,-122.039263,0,85.55,0,0,5,Offer D,0,0,1,0,Credit Card,0,29247,0,Q4,1,1,0,California,1,1,1,23,2038.97,0.0,134.14,0.0,2173.11,0,1,95444,1
62,19.74,4.4,,,24,West Sylvia,2042,Two Year,United States,1056-ZEYKK,Joined,0,0,Male,0,,"33.741955, -123.513372",33.741955,-123.513372,0,93.08,0,0,0,Offer C,0,0,0,0,Bank Withdrawal,0,4073,0,Q4,0,2,0,California,0,0,0,1,90.3,0.0,4.74,0.0,95.03999999999999,0,0,94250,0
64,26.71,11.06,,,17,Craneside,5417,Two Year,United States,8441-XGBVM,Joined,3,0,Male,0,,"36.618741, -118.29347",36.618741,-118.29347,0,63.64,0,3,5,Offer A,0,0,1,1,Bank Withdrawal,1,1160,0,Q4,1,2,0,California,0,0,0,21,1206.89,0.0,228.22,0.0,1435.1100000000001,0,0,93280,0
25,53.3,9.89,,,35,Morganborough,5287,Month-to-Month,United States,5465-GWJGP,Joined,0,0,Male,0,,"37.762236, -122.833897",37.762236,-122.833897,0,61.65,1,0,1,Offer D,0,0,0,1,Credit Card,1,26085,0,Q4,1,4,0,California,0,0,0,35,2103.55,0.0,375.89,0.0,2479.44,1,0,94393,0
